date,cases,deaths,country,population,cum_cases,cum_cases_per100000,cases_per100000,cases_7day_rollmean,cases_7day_rollsum,cases_14day_rollmean,cases_14day_rollsum,cases_14day_rollmean_per100000,cases_14day_rollsum_per100000,cumulative_deaths,deaths_per100000,deaths_7day_rollmean,deaths_7day_rollsum,deaths_14day_rollmean,deaths_14day_rollsum,deaths_14day_rollmean_per100000,deaths_14day_rollsum_per100000
2020-07-06,24,2,Belgium,11455519,62217,543.1181249841234,0.2095060031762856,90.57142857142857,634,88.57142857142857,1240,0.7731769164839112,10.824476830774756,9783,85.39988454473342,3.5714285714285716,25,4.5,63,0.03928237559555355,0.5499532583377497
2020-07-07,113,1,Belgium,11455519,62330,544.1045490824117,0.9864240982883448,88.57142857142857,620,86.42857142857143,1210,0.7544710233431714,10.5625943268044,9784,85.40861396153242,3.2857142857142856,23,3.7142857142857144,52,0.03242354811061563,0.4539296735486188
2020-07-08,99,3,Belgium,11455519,62429,544.9687613455139,0.8642122631021781,88.42857142857143,619,85.64285714285714,1199,0.7476121958582335,10.466570742015268,9787,85.43480221192947,2.5714285714285716,18,3.642857142857143,51,0.031800018339257635,0.4452002567496069
2020-07-09,137,1,Belgium,11455519,62566,546.1646914469785,1.1959301014646304,88.85714285714286,622,88.28571428571429,1236,0.7706827973984792,10.789559163578708,9788,85.44353162872848,2.4285714285714284,17,3.5,49,0.03055295879654165,0.4277414231515831
2020-07-10,123,2,Belgium,11455519,62689,547.238409713257,1.0737182662784637,93.14285714285714,652,91.64285714285714,1283,0.7999886966523048,11.199841753132269,9790,85.4609904623265,2,14,3.2857142857142856,46,0.02868236948246767,0.4015531727545474
2020-07-11,126,0,Belgium,11455519,62815,548.3383162299325,1.0999065166754993,97.85714285714286,685,92.57142857142857,1296,0.8080945836799588,11.313324171519422,9790,85.4609904623265,1.7142857142857142,12,3.142857142857143,44,0.027435309939751684,0.38409433915652363
2020-07-12,62,2,Belgium,11455519,62877,548.8795400714713,0.5412238415387378,97.71428571428571,684,94.07142857142857,1317,0.8211887088784766,11.496641924298672,9792,85.47844929592452,1.5714285714285714,11,2.7857142857142856,39,0.02431766108296172,0.3404472551614641
2020-07-13,43,4,Belgium,11455519,62920,549.2549049938287,0.37536492235751173,100.42857142857143,703,95.5,1337,0.8336593043056365,11.67123026027891,9796,85.51336696312057,1.8571428571428572,13,2.7142857142857144,38,0.02369413131160373,0.3317178383624522
2020-07-14,225,0,Belgium,11455519,63145,551.2190237736064,1.9641187797776776,116.42857142857143,815,102.5,1435,0.8947652218987198,12.526713106582077,9796,85.51336696312057,1.7142857142857142,12,2.5,35,0.02182354199752975,0.3055295879654165
2020-07-15,207,3,Belgium,11455519,63352,553.0260130510019,1.8069892773954632,131.85714285714286,923,110.14285714285714,1542,0.961482907434025,13.46076070407635,9799,85.53955521351762,1.7142857142857142,12,2.142857142857143,30,0.018705893140739786,0.261882503970357
2020-07-16,260,5,Belgium,11455519,63612,555.295661418745,2.269648367743094,149.42857142857142,1046,119.14285714285714,1668,1.0400476586251322,14.56066722075185,9804,85.58320229751267,2.2857142857142856,16,2.357142857142857,33,0.020576482454813767,0.2880707543673927
2020-07-17,223,5,Belgium,11455519,63835,557.2423213649247,1.9466599461796537,163.71428571428572,1146,128.42857142857142,1798,1.121106528901671,15.695491404623397,9809,85.62684938150772,2.7142857142857144,19,2.357142857142857,33,0.020576482454813767,0.2880707543673927
2020-07-18,274,2,Belgium,11455519,64109,559.634181567854,2.391860202929261,184.85714285714286,1294,141.35714285714286,1979,1.233965417517468,17.275515845244552,9811,85.64430821510575,3,21,2.357142857142857,33,0.020576482454813767,0.2880707543673927
2020-07-19,129,3,Belgium,11455519,64238,560.7602763349264,1.1260947670725352,194.42857142857142,1361,146.07142857142858,2045,1.2751183824270955,17.851657353979334,9814,85.6704964655028,3.142857142857143,22,2.357142857142857,33,0.020576482454813767,0.2880707543673927
2020-07-20,65,1,Belgium,11455519,64303,561.3276884268622,0.5674120919357735,197.57142857142858,1383,149,2086,1.300683103052773,18.209563442738823,9815,85.6792258823018,2.7142857142857144,19,2.2857142857142856,32,0.01995295268345577,0.2793413375683808
2020-07-21,443,2,Belgium,11455519,64746,565.1948200688245,3.867131641962272,228.71428571428572,1601,172.57142857142858,2416,1.5064479276009108,21.09027098641275,9817,85.69668471589982,3,21,2.357142857142857,33,0.020576482454813767,0.2880707543673927
2020-07-22,144,1,Belgium,11455519,64890,566.4518560878822,1.2570360190577137,219.71428571428572,1538,175.78571428571428,2461,1.5345067673120203,21.483094742368287,9818,85.70541413269883,2.7142857142857144,19,2.2142857142857144,31,0.01932942291209778,0.2706119207693689
2020-07-23,553,3,Belgium,11455519,65443,571.2792235777358,4.8273674898535806,261.57142857142856,1831,205.5,2877,1.7938951521969455,25.114532130757237,9821,85.73160238309588,2.4285714285714284,17,2.357142857142857,33,0.020576482454813767,0.2880707543673927
2020-07-24,438,2,Belgium,11455519,65881,575.102708135703,3.823484557967212,292.2857142857143,2046,228,3192,1.9903070301747132,27.864298422445984,9823,85.74906121669389,2,14,2.357142857142857,33,0.020576482454813767,0.2880707543673927
2020-07-25,496,5,Belgium,11455519,66377,579.4324988680129,4.3297907323099025,324,2268,254.42857142857142,3562,2.2210130455771706,31.094182638080387,9828,85.79270830068896,2.4285714285714284,17,2.7142857142857144,38,0.02369413131160373,0.3317178383624522
2020-07-26,230,1,Belgium,11455519,66607,581.4402647317856,2.007765863772737,338.42857142857144,2369,266.42857142857144,3730,2.3257660471653137,32.560724660314385,9829,85.80143771748797,2.142857142857143,15,2.642857142857143,37,0.023070601540245737,0.3229884215634403
2020-07-27,186,2,Belgium,11455519,66793,583.0639362564018,1.6236715246162134,355.7142857142857,2490,276.64285714285717,3873,2.4149308044695066,33.809031262573086,9831,85.81889655108598,2.2857142857142856,16,2.5,35,0.02182354199752975,0.3055295879654165
2020-07-28,593,4,Belgium,11455519,67386,588.240480418216,5.176544161814057,377.14285714285717,2640,302.92857142857144,4241,2.644389760329248,37.021456644609465,9835,85.85381421828204,2.5714285714285716,18,2.7857142857142856,39,0.02431766108296172,0.3404472551614641
2020-07-29,687,1,Belgium,11455519,68073,594.2375897591371,5.997109340921176,454.7142857142857,3183,337.2142857142857,4721,2.9436840505810844,41.21157670813518,9836,85.86254363508105,2.5714285714285716,18,2.642857142857143,37,0.023070601540245737,0.3229884215634403
2020-07-30,688,3,Belgium,11455519,68761,600.2434285168573,6.005838757720188,474,3318,367.7857142857143,5149,3.2105547927223053,44.94776709811227,9839,85.88873188547808,2.5714285714285716,18,2.5,35,0.02182354199752975,0.3055295879654165
2020-07-31,634,2,Belgium,11455519,69395,605.7778787674308,5.534450250573545,502,3514,397.14285714285717,5560,3.4668255287504404,48.535557402506164,9841,85.90619071907611,2.5714285714285716,18,2.2857142857142856,32,0.01995295268345577,0.2793413375683808
2020-08-01,683,3,Belgium,11455519,70078,611.7400704411559,5.962191673725128,528.7142857142857,3701,426.35714285714283,5969,3.721849205235859,52.105888873302035,9844,85.93237896947315,2.2857142857142856,16,2.357142857142857,33,0.020576482454813767,0.2880707543673927
2020-08-02,293,1,Belgium,11455519,70371,614.2977895632664,2.5577191221104867,537.7142857142857,3764,438.07142857142856,6133,3.82410808773857,53.53751322833998,9845,85.94110838627216,2.2857142857142856,16,2.2142857142857144,31,0.01932942291209778,0.2706119207693689
