date,year_week,cases_weekly,deaths_weekly,country,population,continent,notification_rate_per_100000_population_14_days,cum_cases,cum_cases_per100000,weekly_cases_per100000,cum_deaths,cum_deaths_per100000,weekly_deaths_per100000
2020-12-14,2020-50,49556,1367,Spain,46937060,Western Europe,220.93,1751884,3732.4110202045035,105.57968479491471,48013,102.29230377871984,2.9124107901091376
2020-12-21,2020-51,67365,1247,Spain,46937060,Western Europe,249.1,1819249,3875.933004751469,143.52198454696565,49260,104.94905305104324,2.6567492723234047
2020-12-28,2020-52,60164,862,Spain,46937060,Western Europe,271.7,1879413,4004.1131677186427,128.1801629671735,50122,106.7855549538041,1.836501902760846
2021-01-04,2020-53,79431,956,Spain,46937060,Western Europe,297.41,1958844,4173.341917878964,169.22875016032106,51078,108.8223250454971,2.036770091693003
2021-01-11,2021-01,152938,1197,Spain,46937060,Western Europe,495.07,2111782,4499.178261271583,325.8363433926198,52275,111.37254868540977,2.5502236399126827
2021-01-18,2021-02,224669,1494,Spain,46937060,Western Europe,804.5,2336451,4977.8384074332735,478.6601461616897,53769,114.55553458184215,3.1829858964323714
2021-01-25,2021-03,256931,2439,Spain,46937060,Western Europe,1026.05,2593382,5525.233152651657,547.394745218384,56208,119.75185493083715,5.196320348995016
2021-02-01,2021-04,229423,2873,Spain,46937060,Western Europe,1036.18,2822805,6014.021755942958,488.7886032913011,59081,125.87281776915724,6.120962838320082
2020-01-06,2020-01,0,0,Sweden,10230185,Western Europe,NA,0,0,0,0,0,0
2020-01-13,2020-02,0,0,Sweden,10230185,Western Europe,0,0,0,0,0,0,0
2020-01-20,2020-03,0,0,Sweden,10230185,Western Europe,0,0,0,0,0,0,0
2020-01-27,2020-04,0,0,Sweden,10230185,Western Europe,0,0,0,0,0,0,0
2020-02-03,2020-05,0,0,Sweden,10230185,Western Europe,0,0,0,0,0,0,0
2020-02-10,2020-06,1,0,Sweden,10230185,Western Europe,0.01,1,0.00977499429384708,0.00977499429384708,0,0,0
2020-02-17,2020-07,0,0,Sweden,10230185,Western Europe,0.01,1,0.00977499429384708,0,0,0,0
2020-02-24,2020-08,0,0,Sweden,10230185,Western Europe,0,1,0.00977499429384708,0,0,0,0
2020-03-02,2020-09,13,0,Sweden,10230185,Western Europe,0.13,14,0.13684992011385913,0.12707492582001206,0,0,0
2020-03-09,2020-10,211,0,Sweden,10230185,Western Europe,2.19,225,2.199373716115593,2.062523796001734,0,0,0
2020-03-16,2020-11,838,5,Sweden,10230185,Western Europe,10.25,1063,10.390818934359446,8.191445218243853,5,0.048874971469235404,0.048874971469235404
2020-03-23,2020-12,924,44,Sweden,10230185,Western Europe,17.22,1987,19.422913661874148,9.032094727514703,49,0.47897472039850697,0.43009974892927155
2020-03-30,2020-13,1957,190,Sweden,10230185,Western Europe,28.16,3944,38.55257749493288,19.129663833058736,239,2.336223636229452,1.8572489158309453
2020-04-06,2020-14,3228,451,Sweden,10230185,Western Europe,50.68,7172,70.10625907547126,31.553681580538377,690,6.744746062754486,4.408522426525034
2020-04-13,2020-15,3739,664,Sweden,10230185,Western Europe,68.1,10911,106.6549627401655,36.54870366469424,1354,13.235342273868948,6.490596211114462
2020-04-20,2020-16,3751,658,Sweden,10230185,Western Europe,73.21,14662,143.3209663363859,36.6660035962204,2012,19.667288519220328,6.431946245351379
2020-04-27,2020-17,4201,546,Sweden,10230185,Western Europe,77.73,18863,184.3857173648375,41.06475102845159,2558,25.004435403660832,5.337146884440506
2020-05-04,2020-18,3832,544,Sweden,10230185,Western Europe,78.52,22695,221.8434954988595,37.457778134022014,3102,30.322032299513644,5.317596895852812
2020-05-11,2020-19,4153,510,Sweden,10230185,Western Europe,78.05,26848,262.4390468012064,40.59555130234693,3612,35.30727938937566,4.985247089862011
2020-05-18,2020-20,3869,380,Sweden,10230185,Western Europe,78.42,30717,300.2584997241008,37.81945292289436,3992,39.021777221037546,3.7144978316618906
2020-05-25,2020-21,3659,360,Sweden,10230185,Western Europe,73.59,34376,336.02520384528725,35.76670412118647,4352,42.5407751668225,3.518997945784949
2020-06-01,2020-22,4281,274,Sweden,10230185,Western Europe,77.61,38657,377.8719544172466,41.846750571959355,4626,45.2191236033366,2.6783484365141
2020-06-08,2020-23,6021,245,Sweden,10230185,Western Europe,100.7,44678,436.72719506049987,58.855240643253275,4871,47.61399720532913,2.394873601992535
2020-06-15,2020-24,7123,234,Sweden,10230185,Western Europe,128.48,51801,506.35447941557265,69.62728435507276,5105,49.90134587008935,2.287348664760217
2020-06-22,2020-25,7073,200,Sweden,10230185,Western Europe,138.77,58874,575.493014055953,69.1385346403804,5305,51.856344728858765,1.9549988587694163
2020-06-29,2020-26,7459,138,Sweden,10230185,Western Europe,142.05,66333,648.4046964937584,72.91168243780538,5443,53.205293941409664,1.348949212550897
2020-07-06,2020-27,4276,98,Sweden,10230185,Western Europe,114.71,70609,690.2025720942486,41.797875600490116,5541,54.16324338220667,0.9579494407970139
2020-07-13,2020-28,2179,84,Sweden,10230185,Western Europe,63.1,72788,711.5022846605414,21.29971256629279,5625,54.98434290288983,0.8210995206831548
2020-07-20,2020-29,1622,57,Sweden,10230185,Western Europe,37.15,74410,727.3573254051613,15.855040744619965,5682,55.54151757763911,0.5571746747492836
2020-07-27,2020-30,1316,30,Sweden,10230185,Western Europe,28.72,75726,740.221217895864,12.863892490702758,5712,55.834767406454525,0.29324982881541245
2020-08-03,2020-31,1556,18,Sweden,10230185,Western Europe,28.07,77282,755.4311090170901,15.209891121226057,5730,56.010717303743775,0.17594989728924745
2020-08-10,2020-32,2014,18,Sweden,10230185,Western Europe,34.9,79296,775.1179475248981,19.68683850780802,5748,56.18666720103302,0.17594989728924745
2020-08-17,2020-33,2052,16,Sweden,10230185,Western Europe,39.75,81348,795.1762358158724,20.05828829097421,5764,56.34306710973458,0.1563999087015533
2020-08-24,2020-34,1687,19,Sweden,10230185,Western Europe,36.55,83035,811.6666511895924,16.490415373720026,5783,56.52879200131767,0.18572489158309455
2020-08-31,2020-35,1200,10,Sweden,10230185,Western Europe,28.22,84235,823.3966443422089,11.729993152616498,5793,56.62654194425614,0.09774994293847081
2020-09-07,2020-36,1332,12,Sweden,10230185,Western Europe,24.75,85567,836.4169367416132,13.020292399404312,5805,56.7438418757823,0.11729993152616497
2020-09-14,2020-37,1592,13,Sweden,10230185,Western Europe,28.58,87159,851.9787276574177,15.561790915804552,5818,56.87091680160231,0.12707492582001206
