date,cases,deaths,country,population,cumulative_cases,cases_per100000,cases_7day_rollmean,cumulative_deaths,deaths_per100000,deaths_7day_rollmean
2020-02-16,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-17,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-18,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-19,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-20,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-21,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-22,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-23,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-24,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-25,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-26,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-27,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-28,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-02-29,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-03-01,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-03-02,0,0,Russia,114587226,2,0.0017453952502524146,0,0,0,0
2020-03-03,1,0,Russia,114587226,3,0.002618092875378622,0.14285714285714285,0,0,0
2020-03-04,1,0,Russia,114587226,4,0.003490790500504829,0.2857142857142857,0,0,0
2020-03-05,0,0,Russia,114587226,4,0.003490790500504829,0.2857142857142857,0,0,0
2020-03-06,0,0,Russia,114587226,4,0.003490790500504829,0.2857142857142857,0,0,0
2020-03-07,6,0,Russia,114587226,10,0.008726976251262073,1.1428571428571428,0,0,0
2020-03-08,0,0,Russia,114587226,10,0.008726976251262073,1.1428571428571428,0,0,0
2020-03-09,0,0,Russia,114587226,10,0.008726976251262073,1.1428571428571428,0,0,0
2020-03-10,0,0,Russia,114587226,10,0.008726976251262073,1,0,0,0
2020-03-11,0,0,Russia,114587226,10,0.008726976251262073,0.8571428571428571,0,0,0
2020-03-12,15,0,Russia,114587226,25,0.02181744062815518,3,0,0,0
2020-03-13,5,0,Russia,114587226,30,0.026180928753786217,3.7142857142857144,0,0,0
2020-03-14,15,0,Russia,114587226,45,0.03927139313067933,5,0,0,0
2020-03-15,14,0,Russia,114587226,59,0.05148915988244623,7,0,0,0
2020-03-16,4,0,Russia,114587226,63,0.05497995038295106,7.571428571428571,0,0,0
2020-03-17,30,0,Russia,114587226,93,0.08116087913673728,11.857142857142858,0,0,0
2020-03-18,21,0,Russia,114587226,114,0.09948752926438763,14.857142857142858,0,0,0
