date,cases,deaths,country,population,continent,cum_cases,cum_cases_per100000,cases_per100000,cases_7day_rollmean,cases_7day_rollsum,cases_7day_rollsum_per100000,cases_14day_rollmean,cases_14day_rollsum,cases_14day_rollmean_per100000,cases_14day_rollsum_per100000,cumulative_deaths,deaths_per100000,deaths_7day_rollmean,deaths_7day_rollsum,deaths_7day_rollsum_per100000,deaths_14day_rollmean,deaths_14day_rollsum,deaths_14day_rollmean_per100000,deaths_14day_rollsum_per100000
2020-05-16,789,242,Italy,60359546,Europe,223885,370.9189595296161,1.3071668895587782,957.1428571428571,6700,11.10014975924438,1175.5,16457,1.9474964241778756,27.26494993849026,31610,52.36951252085296,201.28571428571428,1409,2.3343449269813923,241,3374,0.3992740435787903,5.589836610103065
2020-05-17,875,153,Italy,60359546,Europe,224760,372.368605953398,1.449646423781915,927.4285714285714,6492,10.755548095076792,1102.2857142857142,15432,1.8261994785144908,25.566792699202875,31763,52.62299355266854,195.42857142857142,1368,2.266418637409897,218.07142857142858,3053,0.36128739035152546,5.058023464921356
2020-05-18,675,145,Italy,60359546,Europe,225435,373.4869046231726,1.1182986697746202,909.2857142857143,6365,10.54514227128216,1051.2857142857142,14718,1.7417058012426307,24.38388121739683,31908,52.86322067432383,192.57142857142858,1348,2.2332838620091677,216,3024,0.35785557432787846,5.0099780405902985
2020-05-19,451,99,Italy,60359546,Europe,225886,374.2340938084591,0.74718918528645,867.4285714285714,6072,10.059717811661473,996.2857142857143,13948,1.6505851688906248,23.108192364468746,32007,53.02723781255744,181.14285714285714,1268,2.1007447604062497,209.14285714285714,2928,0.34649507990477124,4.850931118666797
2020-05-20,813,162,Italy,60359546,Europe,226699,375.5810224284987,1.3469286200396537,783.2857142857143,5483,9.083898676109989,977.5714285714286,13686,1.6195804861942278,22.67412680671919,32169,53.295629493303345,179.71428571428572,1258,2.0841773727058848,203.85714285714286,2854,0.33773803212029274,4.728332449684098
2020-05-21,665,161,Italy,60359546,Europe,227364,376.68275371057297,1.1017312820742555,751.4285714285714,5260,8.714445930391856,921.9285714285714,12907,1.5273948074900554,21.383527304860774,32330,53.56236443527922,174.85714285714286,1224,2.0278482545246446,189,2646,0.31312362753689366,4.383730785516511
2020-05-22,642,156,Italy,60359546,Europe,228006,377.74638000093637,1.0636262903634166,701.4285714285714,4910,8.13458736087909,867.7142857142857,12148,1.4375758984573637,20.12606257840309,32486,53.82081568340491,159.71428571428572,1118,1.8522339449007783,180.57142857142858,2528,0.29915968647515767,4.188235610652208
2020-05-23,652,130,Italy,60359546,Europe,228658,378.82657367900015,1.0801936780637813,681.8571428571429,4773,7.907614149384092,819.5,11473,1.3576974220448907,19.007763908628473,32616,54.03619172350965,143.71428571428572,1006,1.6666792026566932,172.5,2415,0.28578743783129185,4.001024129638085
2020-05-24,669,119,Italy,60359546,Europe,229327,379.9349319161546,1.1083582371544014,652.4285714285714,4567,7.566325962756578,789.9285714285714,11059,1.3087052898452407,18.32187405783337,32735,54.23334363714399,138.85714285714286,972,1.6103500844754532,167.14285714285714,2340,0.2769120515632393,3.87676872188535
2020-05-25,531,50,Italy,60359546,Europe,229858,380.81466020304396,0.8797282868893679,631.8571428571429,4423,7.327755579871327,770.5714285714286,10788,1.2766355607966775,17.872897851153486,32785,54.31618057564582,125.28571428571429,877,1.452959901321988,158.92857142857142,2225,0.2633031259522254,3.6862437633311558
2020-05-26,300,92,Italy,60359546,Europe,230158,381.31168183405487,0.4970216310109423,610.2857142857143,4272,7.077588025595818,738.8571428571429,10344,1.2240932740898065,17.13730583725729,32877,54.46860054248917,124.28571428571429,870,1.4413627299317326,152.71428571428572,2138,0.2530076778812845,3.5421074903379823
2020-05-27,397,78,Italy,60359546,Europe,230555,381.96940712575935,0.6577252917044804,550.8571428571429,3856,6.388384697260645,667.0714285714286,9339,1.1051630980979024,15.472283373370635,32955,54.59782616655202,112.28571428571429,786,1.302196673248669,146,2044,0.24188386042532525,3.386374045954554
2020-05-28,584,117,Italy,60359546,Europe,231139,382.9369425674607,0.967535441701301,539.2857142857143,3775,6.254188856887691,645.3571428571429,9035,1.0691881990913963,14.968634787279546,33072,54.79166460264628,106,742,1.229300167367064,140.42857142857142,1966,0.2326534587065506,3.2571484218917086
2020-05-29,593,70,Italy,60359546,Europe,231732,383.9193886580923,0.9824460906316294,532.2857142857143,3726,6.173008657155903,616.8571428571429,8636,1.0219711441453567,14.307596018034992,33142,54.90763631654884,93.71428571428571,656,1.0868206331439272,126.71428571428571,1774,0.20993246986033612,2.9390545780447055
2020-05-30,516,87,Italy,60359546,Europe,232248,384.77426586343114,0.8548772053388208,512.8571428571429,3590,5.947692184430943,597.3571428571429,8363,0.9896647381296455,13.855306333815035,33229,55.05177258954201,87.57142857142857,613,1.0155808660323589,115.64285714285714,1619,0.19159000490636086,2.682260068689052
2020-05-31,416,111,Italy,60359546,Europe,232664,385.4634691917663,0.6892033283351734,476.7142857142857,3337,5.528537275611715,564.5714285714286,7904,0.9353473741691638,13.094863238368294,33340,55.23567059301606,86.42857142857143,605,1.002326955872067,112.64285714285714,1577,0.18661978859625145,2.61267704034752
2020-06-01,355,75,Italy,60359546,Europe,233019,386.05161145512926,0.5881422633629484,451.57142857142856,3161,5.236951252085295,541.7142857142857,7584,0.8974790594254729,12.564706831956622,33415,55.359926000768795,90,630,1.043745425122979,107.64285714285714,1507,0.17833609474606907,2.496705326444967
2020-06-02,178,60,Italy,60359546,Europe,233197,386.34651095619574,0.29489950106649243,434.14285714285717,3039,5.034829122140846,522.2142857142857,7311,0.8651726534097617,12.112417147736664,33475,55.45933032697098,85.42857142857143,598,0.9907297844818117,104.85714285714286,1468,0.17372089388668174,2.4320925144135446
